,$type,title,hidden,translationSetId,language,id,created,modified,createdBy,modifiedBy,hasDynamicValueTags
79,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",verzamelen,True,6078352e-4735-4335-9287-e95d2ad58594,nl,915df67e-9827-4228-964b-08d82d534acd,2020-07-21T09:12:59.1680349+00:00,2020-07-21 09:12:59.186174+00:00,,,False
80,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",performance,True,fbe39779-d8e6-4847-b00a-a5cf80d366f9,nl,cee8050f-312e-4024-964c-08d82d534acd,2020-07-21T09:16:28.2059901+00:00,2020-07-21 09:16:57.663029400+00:00,,,False
81,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",medisch,True,55f7b7d6-e20e-4d04-be01-92c012b703ee,nl,526f7779-dd02-4128-964d-08d82d534acd,2020-07-21T09:33:42.2579672+00:00,2020-07-21 09:33:42.268962200+00:00,,,False
82,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",spoorwegen,True,72395545-c17f-4e72-9a4e-b43a022193e8,nl,d73dd0ba-4f5d-42a7-964e-08d82d534acd,2020-07-21T10:20:17.4138162+00:00,2020-07-21 10:20:17.427067200+00:00,,,False
83,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",defensie,True,28da0725-130f-4e1c-9a1d-6c1cd5bd1c77,nl,e9ab7e50-46c2-4036-74fe-08d82d7246be,2020-07-21T12:41:31.5891364+00:00,2020-07-21 12:41:31.602742300+00:00,,,False
84,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",geschiedenis,True,1458f954-ea22-4f77-ba1a-17e48d6de757,nl,f6ec8a11-9841-4255-c029-08d832127e72,2020-07-27T09:50:28.4983811+00:00,2020-07-27 09:50:28.518162100+00:00,,,False
85,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",75 years of freedom,False,72aa32a1-94d6-4444-8c25-c7ed4f3fd62d,en,2331d993-0d21-4042-f5ef-08d8348e3012,2020-06-02T09:46:23.8048118+00:00,2020-07-30 13:40:56.948113600+00:00,,,False
86,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",sculpture,True,3a245c28-c42f-4eb6-bb93-dbe42aafc7ec,en,11a21516-52bb-4530-f5f0-08d8348e3012,2020-06-02T11:50:47.1156256+00:00,2020-09-10 12:43:23.560314100+00:00,,,False
87,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",culture,False,be59bd56-bc2d-40bd-8e2b-217c719050d7,en,34bd6ea1-d22d-4a20-f5f1-08d8348e3012,2020-06-10T13:15:42.0391754+00:00,2020-07-30 13:41:38.368019600+00:00,,,False
88,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",photography,False,a2e1ce90-61a7-410e-b3ed-00a0cde2b0af,en,9c0c3cee-e8ad-4680-f5f2-08d8348e3012,2020-06-02T11:51:04.0077263+00:00,2020-07-30 13:41:55.876437300+00:00,,,False
89,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",painting,False,7d2a345d-e4e4-48e6-95f9-25641e1fb773,en,58b8295c-fbd8-4f9b-f5f3-08d8348e3012,2020-06-02T11:52:01.4190319+00:00,2020-07-30 13:42:38.817804300+00:00,,,False
90,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",technics,True,f9c7e23d-d151-4422-954d-bf6b613113f3,en,3eb71b5f-b669-4fd9-f5f4-08d8348e3012,2020-06-19T08:11:16.7609078+00:00,2020-09-10 12:43:37.825279300+00:00,,,False
91,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",maritime,False,87160977-dc35-4631-85eb-bdb556de26fe,en,17291655-6e09-4f84-f627-08d8348e6180,2020-06-08T10:46:39.4399118+00:00,2020-07-30 13:42:19.877525200+00:00,,,False
92,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Tikkit Talk,True,1eb50f49-12e1-4110-9b31-816a2b75f0f5,nl,6e196d5b-4d9a-4e8f-527a-08d848dbd1aa,2020-08-25T09:47:02.5134058+00:00,2020-08-25 09:47:08.924560200+00:00,,,False
93,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Keramik,True,23138f4b-bf10-435e-87d5-7af332c0d41f,de,4bd6d7fb-31af-4ad3-527b-08d848dbd1aa,2020-08-27T10:34:41.1060359+00:00,2020-09-10 07:48:21.210695800+00:00,,,False
94,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Abtei,True,e2dcad8d-899f-452a-9999-8d15dd55437b,de,b8be64b6-14d5-4787-527c-08d848dbd1aa,2020-08-27T10:35:25.1575856+00:00,2020-09-10 07:48:37.997727600+00:00,,,False
95,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Akademisch,True,6f7c5c2d-9bc2-4aea-a9d9-2847532fe20a,de,add92a81-795a-4881-527e-08d848dbd1aa,2020-08-27T10:36:00.8653411+00:00,2020-09-10 07:49:27.924552700+00:00,,,False
96,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",18. Jahrhundert,True,7dedf314-61d2-4ea1-8736-1cb77e747d78,de,e7a86d42-9e04-4788-527f-08d848dbd1aa,2020-08-27T10:36:17.4090406+00:00,2020-09-10 07:50:12.521871400+00:00,,,False
97,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Adel,True,36a3f073-4c19-4e16-8d47-42a70f8b1ccf,de,ea14fe66-e6c6-4969-5280-08d848dbd1aa,2020-08-27T10:37:02.0355465+00:00,2020-09-10 07:49:34.918627400+00:00,,,False
98,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",Kunsthandwerk,True,a7bee59d-59df-4847-85d6-ecb667397e9b,de,c5267169-a388-4051-5281-08d848dbd1aa,2020-08-27T10:37:20.5356797+00:00,2020-09-10 07:49:21.164016300+00:00,,,False
