,publicName,translationSetId,small_museum,visual,culture,naval,nature,tech,ethnology,architectonic,educative,art_museum,historic_museum,science,military,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,art_galleries,historic_location,castles,churches,children,gardens,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
86,Keramiekmuseum Princessehof,2aab8e4a-58db-4bf4-afe8-06a444b8e56c,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
87,Historisch Museum Den Briel,2adac304-3df6-4588-a60b-c763f29595f9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
88,Marinemuseum,2c843151-3bfa-4329-8f32-5e969d913214,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
89,Bureau Europa,2d859675-3803-40fe-8724-56d33734a322,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,Libertum,2dc0d96e-fbe8-41de-b1db-36094539f0ce,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
91,Ikonenmuseum Kampen,2e8dff09-d2bc-40d0-8d73-93dba2efb202,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
92,Museum van Bommel van Dam,2ed9bac7-8ebe-479a-9bf8-6b837c7f0e90,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
93,Van Abbemuseum,2fc39c27-ca42-462c-b8a5-6b8fdb927961,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
94,Indisch Herinneringscentrum (IHC) | Sophiahof,2ffb2ebd-007a-4bbe-affc-50095caa653d,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
95,Kasteel Doornenburg,30f51fcc-b373-4b85-9ba0-40d958542540,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
96,Science Centre Delft,311f809f-409a-43e7-a89b-817ca4b40f2a,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
